r,t,f,y,ProductionByTechnologyAnnual
"Greece","ALELGRBPO","ELPOWTRANS",2032,9.024
"Greece","ALELGRBPO","ELPOWTRANS",2033,8.544
"Greece","ALELGRBPO","ELPOWTRANS",2034,8.16
"Greece","ALELGRBPO","ELPOWTRANS",2035,7.776
"Greece","ALELGRBPO","ELPOWTRANS",2036,7.296
"Greece","ALELGRBPO","ELPOWTRANS",2037,6.912
"Greece","ALELGRBPO","ELPOWTRANS",2038,6.432
"Greece","ALELGRBPO","ELPOWTRANS",2039,6.048
"Greece","ALELGRBPO","ELPOWTRANS",2040,5.568
"Greece","ALELGRBPO","ELPOWTRANS",2041,5.472
"Greece","ALELGRBPO","ELPOWTRANS",2042,5.472
"Greece","ALELGRBPO","ELPOWTRANS",2043,5.376
"Greece","ALELGRBPO","ELPOWTRANS",2044,5.28
"Greece","ALELGRBPO","ELPOWTRANS",2045,5.184
"Greece","ALELGRBPO","ELPOWTRANS",2046,5.184
"Greece","ALELGRBPO","ELPOWTRANS",2047,5.28
"Greece","ALELGRBPO","ELPOWTRANS",2048,5.28
"Greece","ALELGRBPO","ELPOWTRANS",2049,5.28
"Greece","ALELGRBPO","ELPOWTRANS",2050,5.28
"Greece","ALELGRBPO","ELRE",2019,0
"Greece","ALELGRBPO","ELRE",2020,0
"Greece","ALELGRBPO","ELRE",2021,0
"Greece","ALELGRBPO","ELRE",2022,0
"Greece","ALELGRBPO","ELRE",2023,0
"Greece","ALELGRBPO","ELRE",2024,0
"Greece","ALELGRBPO","ELRE",2025,0
"Greece","ALELGRBPO","ELRE",2026,0
"Greece","ALELGRBPO","ELRE",2027,0
"Greece","ALELGRBPO","ELRE",2028,0
"Greece","ALELGRBPO","ELRE",2029,0
"Greece","ALELGRBPO","ELRE",2030,0
"Greece","ALELGRBPO","ELRE",2031,0
"Greece","ALELGRBPO","ELRE",2032,0
"Greece","ALELGRBPO","ELRE",2033,0
"Greece","ALELGRBPO","ELRE",2034,0
"Greece","ALELGRBPO","ELRE",2035,0
"Greece","ALELGRBPO","ELRE",2036,0
"Greece","ALELGRBPO","ELRE",2037,0
"Greece","ALELGRBPO","ELRE",2038,0
"Greece","ALELGRBPO","ELRE",2039,0
"Greece","ALELGRBPO","ELRE",2040,0
"Greece","ALELGRBPO","ELRE",2041,0
"Greece","ALELGRBPO","ELRE",2042,0
"Greece","ALELGRBPO","ELRE",2043,0
"Greece","ALELGRBPO","ELRE",2044,0
"Greece","ALELGRBPO","ELRE",2045,0
"Greece","ALELGRBPO","ELRE",2046,0
"Greece","ALELGRBPO","ELRE",2047,0
"Greece","ALELGRBPO","ELRE",2048,0
"Greece","ALELGRBPO","ELRE",2049,0
"Greece","ALELGRBPO","ELRE",2050,0
"Greece","ALELGRBPO","ELTRDIS",2019,0
"Greece","ALELGRBPO","ELTRDIS",2020,0
"Greece","ALELGRBPO","ELTRDIS",2021,0
"Greece","ALELGRBPO","ELTRDIS",2022,0
"Greece","ALELGRBPO","ELTRDIS",2023,0
"Greece","ALELGRBPO","ELTRDIS",2024,0
"Greece","ALELGRBPO","ELTRDIS",2025,0
"Greece","ALELGRBPO","ELTRDIS",2026,0
"Greece","ALELGRBPO","ELTRDIS",2027,0
"Greece","ALELGRBPO","ELTRDIS",2028,0
"Greece","ALELGRBPO","ELTRDIS",2029,0
"Greece","ALELGRBPO","ELTRDIS",2030,0
"Greece","ALELGRBPO","ELTRDIS",2031,0
"Greece","ALELGRBPO","ELTRDIS",2032,0
"Greece","ALELGRBPO","ELTRDIS",2033,0
"Greece","ALELGRBPO","ELTRDIS",2034,0
"Greece","ALELGRBPO","ELTRDIS",2035,0
"Greece","ALELGRBPO","ELTRDIS",2036,0
"Greece","ALELGRBPO","ELTRDIS",2037,0
"Greece","ALELGRBPO","ELTRDIS",2038,0
"Greece","ALELGRBPO","ELTRDIS",2039,0
"Greece","ALELGRBPO","ELTRDIS",2040,0
"Greece","ALELGRBPO","ELTRDIS",2041,0
"Greece","ALELGRBPO","ELTRDIS",2042,0
"Greece","ALELGRBPO","ELTRDIS",2043,0
"Greece","ALELGRBPO","ELTRDIS",2044,0
"Greece","ALELGRBPO","ELTRDIS",2045,0
"Greece","ALELGRBPO","ELTRDIS",2046,0
"Greece","ALELGRBPO","ELTRDIS",2047,0
"Greece","ALELGRBPO","ELTRDIS",2048,0
"Greece","ALELGRBPO","ELTRDIS",2049,0
"Greece","ALELGRBPO","ELTRDIS",2050,0
"Greece","ALELGRBPO","GRBIOMASS",2019,0
"Greece","ALELGRBPO","GRBIOMASS",2020,0
"Greece","ALELGRBPO","GRBIOMASS",2021,0
"Greece","ALELGRBPO","GRBIOMASS",2022,0
"Greece","ALELGRBPO","GRBIOMASS",2023,0
"Greece","ALELGRBPO","GRBIOMASS",2024,0
"Greece","ALELGRBPO","GRBIOMASS",2025,0
"Greece","ALELGRBPO","GRBIOMASS",2026,0
"Greece","ALELGRBPO","GRBIOMASS",2027,0
"Greece","ALELGRBPO","GRBIOMASS",2028,0
"Greece","ALELGRBPO","GRBIOMASS",2029,0
"Greece","ALELGRBPO","GRBIOMASS",2030,0
"Greece","ALELGRBPO","GRBIOMASS",2031,0
"Greece","ALELGRBPO","GRBIOMASS",2032,0
"Greece","ALELGRBPO","GRBIOMASS",2033,0
"Greece","ALELGRBPO","GRBIOMASS",2034,0
"Greece","ALELGRBPO","GRBIOMASS",2035,0
"Greece","ALELGRBPO","GRBIOMASS",2036,0
"Greece","ALELGRBPO","GRBIOMASS",2037,0
"Greece","ALELGRBPO","GRBIOMASS",2038,0
"Greece","ALELGRBPO","GRBIOMASS",2039,0
"Greece","ALELGRBPO","GRBIOMASS",2040,0
"Greece","ALELGRBPO","GRBIOMASS",2041,0
"Greece","ALELGRBPO","GRBIOMASS",2042,0
"Greece","ALELGRBPO","GRBIOMASS",2043,0
"Greece","ALELGRBPO","GRBIOMASS",2044,0
"Greece","ALELGRBPO","GRBIOMASS",2045,0
"Greece","ALELGRBPO","GRBIOMASS",2046,0
"Greece","ALELGRBPO","GRBIOMASS",2047,0
"Greece","ALELGRBPO","GRBIOMASS",2048,0
"Greece","ALELGRBPO","GRBIOMASS",2049,0
"Greece","ALELGRBPO","GRBIOMASS",2050,0
"Greece","ALELGRBPO","GRCOAL",2019,0
"Greece","ALELGRBPO","GRCOAL",2020,0
"Greece","ALELGRBPO","GRCOAL",2021,0
"Greece","ALELGRBPO","GRCOAL",2022,0
"Greece","ALELGRBPO","GRCOAL",2023,0
"Greece","ALELGRBPO","GRCOAL",2024,0
"Greece","ALELGRBPO","GRCOAL",2025,0
"Greece","ALELGRBPO","GRCOAL",2026,0
"Greece","ALELGRBPO","GRCOAL",2027,0
"Greece","ALELGRBPO","GRCOAL",2028,0
"Greece","ALELGRBPO","GRCOAL",2029,0
"Greece","ALELGRBPO","GRCOAL",2030,0
"Greece","ALELGRBPO","GRCOAL",2031,0
"Greece","ALELGRBPO","GRCOAL",2032,0
"Greece","ALELGRBPO","GRCOAL",2033,0
"Greece","ALELGRBPO","GRCOAL",2034,0
"Greece","ALELGRBPO","GRCOAL",2035,0
"Greece","ALELGRBPO","GRCOAL",2036,0
"Greece","ALELGRBPO","GRCOAL",2037,0
"Greece","ALELGRBPO","GRCOAL",2038,0
"Greece","ALELGRBPO","GRCOAL",2039,0
"Greece","ALELGRBPO","GRCOAL",2040,0
"Greece","ALELGRBPO","GRCOAL",2041,0
"Greece","ALELGRBPO","GRCOAL",2042,0
"Greece","ALELGRBPO","GRCOAL",2043,0
"Greece","ALELGRBPO","GRCOAL",2044,0
"Greece","ALELGRBPO","GRCOAL",2045,0
"Greece","ALELGRBPO","GRCOAL",2046,0
"Greece","ALELGRBPO","GRCOAL",2047,0
"Greece","ALELGRBPO","GRCOAL",2048,0
"Greece","ALELGRBPO","GRCOAL",2049,0
"Greece","ALELGRBPO","GRCOAL",2050,0
"Greece","ALELGRBPO","GRDIESEL",2019,0
"Greece","ALELGRBPO","GRDIESEL",2020,0
"Greece","ALELGRBPO","GRDIESEL",2021,0
"Greece","ALELGRBPO","GRDIESEL",2022,0
"Greece","ALELGRBPO","GRDIESEL",2023,0
"Greece","ALELGRBPO","GRDIESEL",2024,0
"Greece","ALELGRBPO","GRDIESEL",2025,0
"Greece","ALELGRBPO","GRDIESEL",2026,0
"Greece","ALELGRBPO","GRDIESEL",2027,0
"Greece","ALELGRBPO","GRDIESEL",2028,0
"Greece","ALELGRBPO","GRDIESEL",2029,0
"Greece","ALELGRBPO","GRDIESEL",2030,0
"Greece","ALELGRBPO","GRDIESEL",2031,0
"Greece","ALELGRBPO","GRDIESEL",2032,0
"Greece","ALELGRBPO","GRDIESEL",2033,0
"Greece","ALELGRBPO","GRDIESEL",2034,0
"Greece","ALELGRBPO","GRDIESEL",2035,0
"Greece","ALELGRBPO","GRDIESEL",2036,0
"Greece","ALELGRBPO","GRDIESEL",2037,0
"Greece","ALELGRBPO","GRDIESEL",2038,0
"Greece","ALELGRBPO","GRDIESEL",2039,0
"Greece","ALELGRBPO","GRDIESEL",2040,0
"Greece","ALELGRBPO","GRDIESEL",2041,0
"Greece","ALELGRBPO","GRDIESEL",2042,0
"Greece","ALELGRBPO","GRDIESEL",2043,0
"Greece","ALELGRBPO","GRDIESEL",2044,0
"Greece","ALELGRBPO","GRDIESEL",2045,0
"Greece","ALELGRBPO","GRDIESEL",2046,0
"Greece","ALELGRBPO","GRDIESEL",2047,0
"Greece","ALELGRBPO","GRDIESEL",2048,0
"Greece","ALELGRBPO","GRDIESEL",2049,0
"Greece","ALELGRBPO","GRDIESEL",2050,0
"Greece","ALELGRBPO","GRGAS",2019,0
"Greece","ALELGRBPO","GRGAS",2020,0
"Greece","ALELGRBPO","GRGAS",2021,0
"Greece","ALELGRBPO","GRGAS",2022,0
"Greece","ALELGRBPO","GRGAS",2023,0
"Greece","ALELGRBPO","GRGAS",2024,0
"Greece","ALELGRBPO","GRGAS",2025,0
"Greece","ALELGRBPO","GRGAS",2026,0
"Greece","ALELGRBPO","GRGAS",2027,0
"Greece","ALELGRBPO","GRGAS",2028,0
"Greece","ALELGRBPO","GRGAS",2029,0
"Greece","ALELGRBPO","GRGAS",2030,0
"Greece","ALELGRBPO","GRGAS",2031,0
"Greece","ALELGRBPO","GRGAS",2032,0
"Greece","ALELGRBPO","GRGAS",2033,0
"Greece","ALELGRBPO","GRGAS",2034,0
"Greece","ALELGRBPO","GRGAS",2035,0
"Greece","ALELGRBPO","GRGAS",2036,0
"Greece","ALELGRBPO","GRGAS",2037,0
"Greece","ALELGRBPO","GRGAS",2038,0
"Greece","ALELGRBPO","GRGAS",2039,0
"Greece","ALELGRBPO","GRGAS",2040,0
"Greece","ALELGRBPO","GRGAS",2041,0
"Greece","ALELGRBPO","GRGAS",2042,0
"Greece","ALELGRBPO","GRGAS",2043,0
"Greece","ALELGRBPO","GRGAS",2044,0
"Greece","ALELGRBPO","GRGAS",2045,0
"Greece","ALELGRBPO","GRGAS",2046,0
"Greece","ALELGRBPO","GRGAS",2047,0
"Greece","ALELGRBPO","GRGAS",2048,0
"Greece","ALELGRBPO","GRGAS",2049,0
"Greece","ALELGRBPO","GRGAS",2050,0
"Greece","ALELGRBPO","GROIL",2019,0
"Greece","ALELGRBPO","GROIL",2020,0
"Greece","ALELGRBPO","GROIL",2021,0
"Greece","ALELGRBPO","GROIL",2022,0
"Greece","ALELGRBPO","GROIL",2023,0
"Greece","ALELGRBPO","GROIL",2024,0
"Greece","ALELGRBPO","GROIL",2025,0
"Greece","ALELGRBPO","GROIL",2026,0
"Greece","ALELGRBPO","GROIL",2027,0
"Greece","ALELGRBPO","GROIL",2028,0
"Greece","ALELGRBPO","GROIL",2029,0
"Greece","ALELGRBPO","GROIL",2030,0
"Greece","ALELGRBPO","GROIL",2031,0
"Greece","ALELGRBPO","GROIL",2032,0
"Greece","ALELGRBPO","GROIL",2033,0
"Greece","ALELGRBPO","GROIL",2034,0
"Greece","ALELGRBPO","GROIL",2035,0
"Greece","ALELGRBPO","GROIL",2036,0
"Greece","ALELGRBPO","GROIL",2037,0
"Greece","ALELGRBPO","GROIL",2038,0
"Greece","ALELGRBPO","GROIL",2039,0
"Greece","ALELGRBPO","GROIL",2040,0
"Greece","ALELGRBPO","GROIL",2041,0
"Greece","ALELGRBPO","GROIL",2042,0
"Greece","ALELGRBPO","GROIL",2043,0
"Greece","ALELGRBPO","GROIL",2044,0
"Greece","ALELGRBPO","GROIL",2045,0
"Greece","ALELGRBPO","GROIL",2046,0
"Greece","ALELGRBPO","GROIL",2047,0
"Greece","ALELGRBPO","GROIL",2048,0
"Greece","ALELGRBPO","GROIL",2049,0
"Greece","ALELGRBPO","GROIL",2050,0
"Greece","BATT","ALEL",2019,0
"Greece","BATT","ALEL",2020,0
"Greece","BATT","ALEL",2021,0
"Greece","BATT","ALEL",2022,0
"Greece","BATT","ALEL",2023,0
"Greece","BATT","ALEL",2024,0
"Greece","BATT","ALEL",2025,0
"Greece","BATT","ALEL",2026,0
"Greece","BATT","ALEL",2027,0
"Greece","BATT","ALEL",2028,0
"Greece","BATT","ALEL",2029,0
"Greece","BATT","ALEL",2030,0
"Greece","BATT","ALEL",2031,0
"Greece","BATT","ALEL",2032,0
"Greece","BATT","ALEL",2033,0
"Greece","BATT","ALEL",2034,0
"Greece","BATT","ALEL",2035,0
"Greece","BATT","ALEL",2036,0
"Greece","BATT","ALEL",2037,0
"Greece","BATT","ALEL",2038,0
"Greece","BATT","ALEL",2039,0
"Greece","BATT","ALEL",2040,0
"Greece","BATT","ALEL",2041,0
"Greece","BATT","ALEL",2042,0
"Greece","BATT","ALEL",2043,0
"Greece","BATT","ALEL",2044,0
"Greece","BATT","ALEL",2045,0
"Greece","BATT","ALEL",2046,0
"Greece","BATT","ALEL",2047,0
"Greece","BATT","ALEL",2048,0
"Greece","BATT","ALEL",2049,0
"Greece","BATT","ALEL",2050,0
"Greece","BATT","ELDISFIN",2019,0
"Greece","BATT","ELDISFIN",2020,0
"Greece","BATT","ELDISFIN",2021,0
"Greece","BATT","ELDISFIN",2022,0
"Greece","BATT","ELDISFIN",2023,0
"Greece","BATT","ELDISFIN",2024,0
"Greece","BATT","ELDISFIN",2025,0
"Greece","BATT","ELDISFIN",2026,0
"Greece","BATT","ELDISFIN",2027,0
"Greece","BATT","ELDISFIN",2028,0
"Greece","BATT","ELDISFIN",2029,0
"Greece","BATT","ELDISFIN",2030,0
"Greece","BATT","ELDISFIN",2031,0
"Greece","BATT","ELDISFIN",2032,0
"Greece","BATT","ELDISFIN",2033,0
"Greece","BATT","ELDISFIN",2034,0
"Greece","BATT","ELDISFIN",2035,0
"Greece","BATT","ELDISFIN",2036,0
"Greece","BATT","ELDISFIN",2037,0
"Greece","BATT","ELDISFIN",2038,0
"Greece","BATT","ELDISFIN",2039,0
"Greece","BATT","ELDISFIN",2040,0
"Greece","BATT","ELDISFIN",2041,0
"Greece","BATT","ELDISFIN",2042,0
"Greece","BATT","ELDISFIN",2043,0
"Greece","BATT","ELDISFIN",2044,0
"Greece","BATT","ELDISFIN",2045,0
"Greece","BATT","ELDISFIN",2046,0
"Greece","BATT","ELDISFIN",2047,0
"Greece","BATT","ELDISFIN",2048,0
"Greece","BATT","ELDISFIN",2049,0
"Greece","BATT","ELDISFIN",2050,0
"Greece","BATT","ELPOWTRANS",2019,0
"Greece","BATT","ELPOWTRANS",2020,0
"Greece","BATT","ELPOWTRANS",2021,0
"Greece","BATT","ELPOWTRANS",2022,0
"Greece","BATT","ELPOWTRANS",2023,0
"Greece","BATT","ELPOWTRANS",2024,0
"Greece","BATT","ELPOWTRANS",2025,0
"Greece","BATT","ELPOWTRANS",2026,0
"Greece","BATT","ELPOWTRANS",2027,0
"Greece","BATT","ELPOWTRANS",2028,0
"Greece","BATT","ELPOWTRANS",2029,0
"Greece","BATT","ELPOWTRANS",2030,0
"Greece","BATT","ELPOWTRANS",2031,0
"Greece","BATT","ELPOWTRANS",2032,0
"Greece","BATT","ELPOWTRANS",2033,0
"Greece","BATT","ELPOWTRANS",2034,0
"Greece","BATT","ELPOWTRANS",2035,0
"Greece","BATT","ELPOWTRANS",2036,0
"Greece","BATT","ELPOWTRANS",2037,0
"Greece","BATT","ELPOWTRANS",2038,0
"Greece","BATT","ELPOWTRANS",2039,0
"Greece","BATT","ELPOWTRANS",2040,0
"Greece","BATT","ELPOWTRANS",2041,0
"Greece","BATT","ELPOWTRANS",2042,0
"Greece","BATT","ELPOWTRANS",2043,0
"Greece","BATT","ELPOWTRANS",2044,0
"Greece","BATT","ELPOWTRANS",2045,0
"Greece","BATT","ELPOWTRANS",2046,0
"Greece","BATT","ELPOWTRANS",2047,0
"Greece","BATT","ELPOWTRANS",2048,0
"Greece","BATT","ELPOWTRANS",2049,0
"Greece","BATT","ELPOWTRANS",2050,0
"Greece","BATT","ELRE",2019,0
"Greece","BATT","ELRE",2020,0
"Greece","BATT","ELRE",2021,0
"Greece","BATT","ELRE",2022,0
"Greece","BATT","ELRE",2023,0
"Greece","BATT","ELRE",2024,0
"Greece","BATT","ELRE",2025,0
"Greece","BATT","ELRE",2026,0
"Greece","BATT","ELRE",2027,0
"Greece","BATT","ELRE",2028,0
"Greece","BATT","ELRE",2029,0
"Greece","BATT","ELRE",2030,0
"Greece","BATT","ELRE",2031,0
"Greece","BATT","ELRE",2032,0
"Greece","BATT","ELRE",2033,0
"Greece","BATT","ELRE",2034,0
"Greece","BATT","ELRE",2035,0
"Greece","BATT","ELRE",2036,0
"Greece","BATT","ELRE",2037,0
"Greece","BATT","ELRE",2038,0
"Greece","BATT","ELRE",2039,0
"Greece","BATT","ELRE",2040,0
"Greece","BATT","ELRE",2041,0
"Greece","BATT","ELRE",2042,0
"Greece","BATT","ELRE",2043,0
"Greece","BATT","ELRE",2044,0
"Greece","BATT","ELRE",2045,0
"Greece","BATT","ELRE",2046,0
"Greece","BATT","ELRE",2047,0
"Greece","BATT","ELRE",2048,0
"Greece","BATT","ELRE",2049,0
"Greece","BATT","ELRE",2050,0
"Greece","BATT","ELTRDIS",2019,0
"Greece","BATT","ELTRDIS",2020,0
"Greece","BATT","ELTRDIS",2021,0
"Greece","BATT","ELTRDIS",2022,0
"Greece","BATT","ELTRDIS",2023,0
"Greece","BATT","ELTRDIS",2024,0
"Greece","BATT","ELTRDIS",2025,0
"Greece","BATT","ELTRDIS",2026,0
"Greece","BATT","ELTRDIS",2027,0
"Greece","BATT","ELTRDIS",2028,0
"Greece","BATT","ELTRDIS",2029,0
"Greece","BATT","ELTRDIS",2030,0
"Greece","BATT","ELTRDIS",2031,0
"Greece","BATT","ELTRDIS",2032,0
"Greece","BATT","ELTRDIS",2033,0
"Greece","BATT","ELTRDIS",2034,0
"Greece","BATT","ELTRDIS",2035,0
"Greece","BATT","ELTRDIS",2036,0
"Greece","BATT","ELTRDIS",2037,0
"Greece","BATT","ELTRDIS",2038,0
"Greece","BATT","ELTRDIS",2039,0
"Greece","BATT","ELTRDIS",2040,0
"Greece","BATT","ELTRDIS",2041,0
"Greece","BATT","ELTRDIS",2042,0
"Greece","BATT","ELTRDIS",2043,0
"Greece","BATT","ELTRDIS",2044,0
"Greece","BATT","ELTRDIS",2045,0
"Greece","BATT","ELTRDIS",2046,0
"Greece","BATT","ELTRDIS",2047,0
"Greece","BATT","ELTRDIS",2048,0
"Greece","BATT","ELTRDIS",2049,0
"Greece","BATT","ELTRDIS",2050,0
"Greece","BATT","GRBIOMASS",2019,0
"Greece","BATT","GRBIOMASS",2020,0
"Greece","BATT","GRBIOMASS",2021,0
"Greece","BATT","GRBIOMASS",2022,0
"Greece","BATT","GRBIOMASS",2023,0
"Greece","BATT","GRBIOMASS",2024,0
"Greece","BATT","GRBIOMASS",2025,0
"Greece","BATT","GRBIOMASS",2026,0
"Greece","BATT","GRBIOMASS",2027,0
"Greece","BATT","GRBIOMASS",2028,0
"Greece","BATT","GRBIOMASS",2029,0
"Greece","BATT","GRBIOMASS",2030,0
"Greece","BATT","GRBIOMASS",2031,0
"Greece","BATT","GRBIOMASS",2032,0
"Greece","BATT","GRBIOMASS",2033,0
"Greece","BATT","GRBIOMASS",2034,0
"Greece","BATT","GRBIOMASS",2035,0
"Greece","BATT","GRBIOMASS",2036,0
"Greece","BATT","GRBIOMASS",2037,0
"Greece","BATT","GRBIOMASS",2038,0
"Greece","BATT","GRBIOMASS",2039,0
"Greece","BATT","GRBIOMASS",2040,0
"Greece","BATT","GRBIOMASS",2041,0
"Greece","BATT","GRBIOMASS",2042,0
"Greece","BATT","GRBIOMASS",2043,0
"Greece","BATT","GRBIOMASS",2044,0
"Greece","BATT","GRBIOMASS",2045,0
"Greece","BATT","GRBIOMASS",2046,0
"Greece","BATT","GRBIOMASS",2047,0
"Greece","BATT","GRBIOMASS",2048,0
"Greece","BATT","GRBIOMASS",2049,0
"Greece","BATT","GRBIOMASS",2050,0
"Greece","BATT","GRCOAL",2019,0
"Greece","BATT","GRCOAL",2020,0
"Greece","BATT","GRCOAL",2021,0
"Greece","BATT","GRCOAL",2022,0
"Greece","BATT","GRCOAL",2023,0
"Greece","BATT","GRCOAL",2024,0
"Greece","BATT","GRCOAL",2025,0
"Greece","BATT","GRCOAL",2026,0
"Greece","BATT","GRCOAL",2027,0
"Greece","BATT","GRCOAL",2028,0
"Greece","BATT","GRCOAL",2029,0
"Greece","BATT","GRCOAL",2030,0
"Greece","BATT","GRCOAL",2031,0
"Greece","BATT","GRCOAL",2032,0
"Greece","BATT","GRCOAL",2033,0
"Greece","BATT","GRCOAL",2034,0
"Greece","BATT","GRCOAL",2035,0
"Greece","BATT","GRCOAL",2036,0
"Greece","BATT","GRCOAL",2037,0
"Greece","BATT","GRCOAL",2038,0
"Greece","BATT","GRCOAL",2039,0
"Greece","BATT","GRCOAL",2040,0
"Greece","BATT","GRCOAL",2041,0
"Greece","BATT","GRCOAL",2042,0
"Greece","BATT","GRCOAL",2043,0
"Greece","BATT","GRCOAL",2044,0
"Greece","BATT","GRCOAL",2045,0
"Greece","BATT","GRCOAL",2046,0
"Greece","BATT","GRCOAL",2047,0
"Greece","BATT","GRCOAL",2048,0
"Greece","BATT","GRCOAL",2049,0
"Greece","BATT","GRCOAL",2050,0
"Greece","BATT","GRDIESEL",2019,0
"Greece","BATT","GRDIESEL",2020,0
"Greece","BATT","GRDIESEL",2021,0
"Greece","BATT","GRDIESEL",2022,0
"Greece","BATT","GRDIESEL",2023,0
"Greece","BATT","GRDIESEL",2024,0
"Greece","BATT","GRDIESEL",2025,0
"Greece","BATT","GRDIESEL",2026,0
"Greece","BATT","GRDIESEL",2027,0
"Greece","BATT","GRDIESEL",2028,0
"Greece","BATT","GRDIESEL",2029,0
"Greece","BATT","GRDIESEL",2030,0
"Greece","BATT","GRDIESEL",2031,0
"Greece","BATT","GRDIESEL",2032,0
"Greece","BATT","GRDIESEL",2033,0
"Greece","BATT","GRDIESEL",2034,0
"Greece","BATT","GRDIESEL",2035,0
"Greece","BATT","GRDIESEL",2036,0
"Greece","BATT","GRDIESEL",2037,0
"Greece","BATT","GRDIESEL",2038,0
"Greece","BATT","GRDIESEL",2039,0
"Greece","BATT","GRDIESEL",2040,0
"Greece","BATT","GRDIESEL",2041,0
"Greece","BATT","GRDIESEL",2042,0
"Greece","BATT","GRDIESEL",2043,0
"Greece","BATT","GRDIESEL",2044,0
"Greece","BATT","GRDIESEL",2045,0
"Greece","BATT","GRDIESEL",2046,0
"Greece","BATT","GRDIESEL",2047,0
"Greece","BATT","GRDIESEL",2048,0
"Greece","BATT","GRDIESEL",2049,0
"Greece","BATT","GRDIESEL",2050,0
"Greece","BATT","GRGAS",2019,0
