r,t,y,AnnualVariableOperatingCost
"Greece","GRMBACKSTOP",2029,0
"Greece","GRMBACKSTOP",2030,0
"Greece","GRMBACKSTOP",2031,0
"Greece","GRMBACKSTOP",2032,0
"Greece","GRMBACKSTOP",2033,0
"Greece","GRMBACKSTOP",2034,0
"Greece","GRMBACKSTOP",2035,0
"Greece","GRMBACKSTOP",2036,0
"Greece","GRMBACKSTOP",2037,0
"Greece","GRMBACKSTOP",2038,0
"Greece","GRMBACKSTOP",2039,0
"Greece","GRMBACKSTOP",2040,0
"Greece","GRMBACKSTOP",2041,0
"Greece","GRMBACKSTOP",2042,0
"Greece","GRMBACKSTOP",2043,0
"Greece","GRMBACKSTOP",2044,0
"Greece","GRMBACKSTOP",2045,0
"Greece","GRMBACKSTOP",2046,0
"Greece","GRMBACKSTOP",2047,0
"Greece","GRMBACKSTOP",2048,0
"Greece","GRMBACKSTOP",2049,0
"Greece","GRMBACKSTOP",2050,0
"Greece","GRMBMCHP00",2019,1.5985617069312
"Greece","GRMBMCHP00",2020,1.7983819202976
"Greece","GRMBMCHP00",2021,1.998202133664
"Greece","GRMBMCHP00",2022,5.994606400992
"Greece","GRMBMCHP00",2023,9.99101066832
"Greece","GRMBMCHP00",2024,13.987414935648
"Greece","GRMBMCHP00",2025,13.987414935648
"Greece","GRMBMCHP00",2026,13.987414935648
"Greece","GRMBMCHP00",2027,13.987414935648
"Greece","GRMBMCHP00",2028,13.987414935648
"Greece","GRMBMCHP00",2029,13.987414935648
"Greece","GRMBMCHP00",2030,12.7614082176
"Greece","GRMBMCHP00",2031,11.6274992832209
"Greece","GRMBMCHP00",2032,9.20097449705739
"Greece","GRMBMCHP00",2033,8.66808177637945
"Greece","GRMBMCHP00",2034,9.12989901215621
"Greece","GRMBMCHP00",2035,7.94991728233044
"Greece","GRMBMCHP00",2036,24.8624482975684
"Greece","GRMBMCHP00",2037,24.8393450239684
"Greece","GRMBMCHP00",2038,24.834944305252
"Greece","GRMBMCHP00",2039,25.0553673909911
"Greece","GRMBMCHP00",2040,25.2079472527684
"Greece","GRMBMCHP00",2041,25.2079472527684
"Greece","GRMBMCHP00",2042,25.2078690988554
"Greece","GRMBMCHP00",2043,24.9349437659858
"Greece","GRMBMCHP00",2044,24.8795236087684
"Greece","GRMBMCHP00",2045,24.6431251906815
"Greece","GRMBMCHP00",2046,24.1988393791388
"Greece","GRMBMCHP00",2047,24.0875940415342
"Greece","GRMBMCHP00",2048,24.0875940415342
"Greece","GRMBMCHP00",2049,25.2079472527684
"Greece","GRMBMCHP00",2050,25.806046533688
"Greece","GRMCOSCP00",2019,37.0683236677402
"Greece","GRMCOSCP00",2020,23.1022870615776
"Greece","GRMCOSCP00",2021,62.693093193984
"Greece","GRMCOSCP00",2022,62.207100223488
"Greece","GRMCOSCP00",2023,17.3813118323436
"Greece","GRMCOSCP00",2024,0
"Greece","GRMCOSCP00",2025,0
"Greece","GRMCOSCP00",2026,0
"Greece","GRMCOSCP00",2027,0
"Greece","GRMCOSCP00",2028,0
"Greece","GRMCOSCP00",2029,0
"Greece","GRMCOSCP00",2030,0
"Greece","GRMCOSCP00",2031,0
"Greece","GRMCOSCP00",2032,0
"Greece","GRMCOSCP00",2033,0
"Greece","GRMCOSCP00",2034,0
"Greece","GRMCOSCP00",2035,0
"Greece","GRMCOSCP00",2036,0
"Greece","GRMCOSCP00",2037,0
"Greece","GRMCOSCP00",2038,0
"Greece","GRMCOSCP00",2039,0
"Greece","GRMCOSCP00",2040,0
"Greece","GRMCOSCP00",2041,0
"Greece","GRMCOSCP00",2042,0
"Greece","GRMCOSCP00",2043,0
"Greece","GRMCOSCP00",2044,0
"Greece","GRMCOSCP00",2045,0
"Greece","GRMCOSCP00",2046,0
"Greece","GRMCOSCP00",2047,0
"Greece","GRMCOSCP00",2048,0
"Greece","GRMCOSCP00",2049,0
"Greece","GRMCOSCP00",2050,0
"Greece","GRMCOSCP00_Ptol",2019,0
"Greece","GRMCOSCP00_Ptol",2020,0
"Greece","GRMCOSCP00_Ptol",2021,0
"Greece","GRMCOSCP00_Ptol",2022,0
"Greece","GRMCOSCP00_Ptol",2023,1.69537536
"Greece","GRMCOSCP00_Ptol",2024,1.55668259022044
"Greece","GRMCOSCP00_Ptol",2025,0
"Greece","GRMCOSCP00_Ptol",2026,0
"Greece","GRMCOSCP00_Ptol",2027,0
"Greece","GRMCOSCP00_Ptol",2028,0
"Greece","GRMCOSCP00_Ptol",2029,0
"Greece","GRMCOSCP00_Ptol",2030,0
"Greece","GRMCOSCP00_Ptol",2031,0
"Greece","GRMCOSCP00_Ptol",2032,0
"Greece","GRMCOSCP00_Ptol",2033,0
"Greece","GRMCOSCP00_Ptol",2034,0
"Greece","GRMCOSCP00_Ptol",2035,0
"Greece","GRMCOSCP00_Ptol",2036,0
"Greece","GRMCOSCP00_Ptol",2037,0
"Greece","GRMCOSCP00_Ptol",2038,0
"Greece","GRMCOSCP00_Ptol",2039,0
"Greece","GRMCOSCP00_Ptol",2040,0
"Greece","GRMCOSCP00_Ptol",2041,0
"Greece","GRMCOSCP00_Ptol",2042,0
"Greece","GRMCOSCP00_Ptol",2043,0
"Greece","GRMCOSCP00_Ptol",2044,0
"Greece","GRMCOSCP00_Ptol",2045,0
"Greece","GRMCOSCP00_Ptol",2046,0
"Greece","GRMCOSCP00_Ptol",2047,0
"Greece","GRMCOSCP00_Ptol",2048,0
"Greece","GRMCOSCP00_Ptol",2049,0
"Greece","GRMCOSCP00_Ptol",2050,0
"Greece","GRMEL00T00",2019,1004.10858482087
"Greece","GRMEL00T00",2020,998.102406177391
"Greece","GRMEL00T00",2021,992.04405362087
"Greece","GRMEL00T00",2022,1144.17959047791
"Greece","GRMEL00T00",2023,1138.22062277009
"Greece","GRMEL00T00",2024,1130.07029443896
"Greece","GRMEL00T00",2025,1123.93698363548
"Greece","GRMEL00T00",2026,1115.59570810435
"Greece","GRMEL00T00",2027,1109.28805420522
"Greece","GRMEL00T00",2028,1100.75583147409
"Greece","GRMEL00T00",2029,1099.80644317496
"Greece","GRMEL00T00",2030,1093.18707783235
"Greece","GRMEL00T00",2031,1094.87852575722
"Greece","GRMEL00T00",2032,1096.4717878873
"Greece","GRMEL00T00",2033,1097.96686422261
"Greece","GRMEL00T00",2034,1104.71158085009
"Greece","GRMEL00T00",2035,1105.97767690017
"Greece","GRMEL00T00",2036,1107.14558715548
"Greece","GRMEL00T00",2037,1108.215311616
"Greece","GRMEL00T00",2038,1114.40424158609
"Greece","GRMEL00T00",2039,1115.24498576139
"Greece","GRMEL00T00",2040,1115.98754414191
"Greece","GRMEL00T00",2041,1121.75148194504
"Greece","GRMEL00T00",2042,1122.26506004035
"Greece","GRMEL00T00",2043,1123.18031165217
"Greece","GRMEL00T00",2044,1141.04268271304
"Greece","GRMEL00T00",2045,1143.61157551304
"Greece","GRMEL00T00",2046,1146.05003353044
"Greece","GRMEL00T00",2047,1148.35805676522
"Greece","GRMEL00T00",2048,1155.42694956522
"Greece","GRMEL00T00",2049,1164.88939827757
"Greece","GRMEL00T00",2050,1164.81438245844
"Greece","GRMHFSTP00",2019,139.748
"Greece","GRMHFSTP00",2020,139.258
"Greece","GRMHFSTP00",2021,138.768
"Greece","GRMHFSTP00",2022,138.376
"Greece","GRMHFSTP00",2023,129.444
"Greece","GRMHFSTP00",2024,119.17
"Greece","GRMHFSTP00",2025,110.442
"Greece","GRMHFSTP00",2026,101.689
"Greece","GRMHFSTP00",2027,94.384
"Greece","GRMHFSTP00",2028,76.065
"Greece","GRMHFSTP00",2029,57.918
"Greece","GRMHFSTP00",2030,39.846
"Greece","GRMHFSTP00",2031,0
"Greece","GRMHFSTP00",2032,0
"Greece","GRMHFSTP00",2033,0
"Greece","GRMHFSTP00",2034,0
"Greece","GRMHFSTP00",2035,0
"Greece","GRMHFSTP00",2036,0
"Greece","GRMHFSTP00",2037,0
"Greece","GRMHFSTP00",2038,0
"Greece","GRMHFSTP00",2039,0
"Greece","GRMHFSTP00",2040,0
"Greece","GRMHFSTP00",2041,0
"Greece","GRMHFSTP00",2042,0
"Greece","GRMHFSTP00",2043,0
"Greece","GRMHFSTP00",2044,0
"Greece","GRMHFSTP00",2045,0
"Greece","GRMHFSTP00",2046,0
"Greece","GRMHFSTP00",2047,0
"Greece","GRMHFSTP00",2048,0
"Greece","GRMHFSTP00",2049,0
"Greece","GRMHFSTP00",2050,0
"Greece","GRMHYDMS01",2019,0
"Greece","GRMHYDMS01",2020,0
"Greece","GRMHYDMS01",2021,0
"Greece","GRMHYDMS01",2022,0
"Greece","GRMHYDMS01",2023,0
"Greece","GRMHYDMS01",2024,0
"Greece","GRMHYDMS01",2025,0
"Greece","GRMHYDMS01",2026,0
"Greece","GRMHYDMS01",2027,0
"Greece","GRMHYDMS01",2028,0
"Greece","GRMHYDMS01",2029,0
"Greece","GRMHYDMS01",2030,0
"Greece","GRMHYDMS01",2031,0
"Greece","GRMHYDMS01",2032,0
"Greece","GRMHYDMS01",2033,0
"Greece","GRMHYDMS01",2034,0
"Greece","GRMHYDMS01",2035,0
"Greece","GRMHYDMS01",2036,0
"Greece","GRMHYDMS01",2037,0
"Greece","GRMHYDMS01",2038,0
"Greece","GRMHYDMS01",2039,0
"Greece","GRMHYDMS01",2040,0
"Greece","GRMHYDMS01",2041,0
"Greece","GRMHYDMS01",2042,0
"Greece","GRMHYDMS01",2043,0
"Greece","GRMHYDMS01",2044,0
"Greece","GRMHYDMS01",2045,0
"Greece","GRMHYDMS01",2046,0
"Greece","GRMHYDMS01",2047,0
"Greece","GRMHYDMS01",2048,0
"Greece","GRMHYDMS01",2049,0
"Greece","GRMHYDMS01",2050,0
"Greece","GRMHYDMS02",2019,0
"Greece","GRMHYDMS02",2020,0
"Greece","GRMHYDMS02",2021,0
"Greece","GRMHYDMS02",2022,0
"Greece","GRMHYDMS02",2023,0
"Greece","GRMHYDMS02",2024,0
"Greece","GRMHYDMS02",2025,0
"Greece","GRMHYDMS02",2026,0
"Greece","GRMHYDMS02",2027,0
"Greece","GRMHYDMS02",2028,0
"Greece","GRMHYDMS02",2029,0
"Greece","GRMHYDMS02",2030,0
"Greece","GRMHYDMS02",2031,0
"Greece","GRMHYDMS02",2032,0
"Greece","GRMHYDMS02",2033,0
"Greece","GRMHYDMS02",2034,0
"Greece","GRMHYDMS02",2035,0
"Greece","GRMHYDMS02",2036,0
"Greece","GRMHYDMS02",2037,0
"Greece","GRMHYDMS02",2038,0
"Greece","GRMHYDMS02",2039,0
"Greece","GRMHYDMS02",2040,0
"Greece","GRMHYDMS02",2041,0
"Greece","GRMHYDMS02",2042,0
"Greece","GRMHYDMS02",2043,0
"Greece","GRMHYDMS02",2044,0
"Greece","GRMHYDMS02",2045,0
"Greece","GRMHYDMS02",2046,0
"Greece","GRMHYDMS02",2047,0
"Greece","GRMHYDMS02",2048,0
"Greece","GRMHYDMS02",2049,0
"Greece","GRMHYDMS02",2050,0
"Greece","GRMHYDMS03",2019,0
"Greece","GRMHYDMS03",2020,0
"Greece","GRMHYDMS03",2021,0
"Greece","GRMHYDMS03",2022,0
"Greece","GRMHYDMS03",2023,0
"Greece","GRMHYDMS03",2024,0
"Greece","GRMHYDMS03",2025,0
"Greece","GRMHYDMS03",2026,0
"Greece","GRMHYDMS03",2027,0
"Greece","GRMHYDMS03",2028,0
"Greece","GRMHYDMS03",2029,0
"Greece","GRMHYDMS03",2030,0
"Greece","GRMHYDMS03",2031,0
"Greece","GRMHYDMS03",2032,0
"Greece","GRMHYDMS03",2033,0
"Greece","GRMHYDMS03",2034,0
"Greece","GRMHYDMS03",2035,0
"Greece","GRMHYDMS03",2036,0
"Greece","GRMHYDMS03",2037,0
"Greece","GRMHYDMS03",2038,0
"Greece","GRMHYDMS03",2039,0
"Greece","GRMHYDMS03",2040,0
"Greece","GRMHYDMS03",2041,0
"Greece","GRMHYDMS03",2042,0
"Greece","GRMHYDMS03",2043,0
"Greece","GRMHYDMS03",2044,0
"Greece","GRMHYDMS03",2045,0
"Greece","GRMHYDMS03",2046,0
"Greece","GRMHYDMS03",2047,0
"Greece","GRMHYDMS03",2048,0
"Greece","GRMHYDMS03",2049,0
"Greece","GRMHYDMS03",2050,0
"Greece","GRMNGCCP00",2019,33.8356808064
"Greece","GRMNGCCP00",2020,36.043904185344
"Greece","GRMNGCCP00",2021,13.8681044653876
"Greece","GRMNGCCP00",2022,22.8633676037966
"Greece","GRMNGCCP00",2023,35.462550892032
"Greece","GRMNGCCP00",2024,35.462550892032
"Greece","GRMNGCCP00",2025,30.2165296261206
"Greece","GRMNGCCP00",2026,26.5896063405554
"Greece","GRMNGCCP00",2027,22.9026830549902
"Greece","GRMNGCCP00",2028,19.638159769425
"Greece","GRMNGCCP00",2029,17.0349121003682
"Greece","GRMNGCCP00",2030,14.5927100804605
"Greece","GRMNGCCP00",2031,12.0944876576264
"Greece","GRMNGCCP00",2032,8.37495264076521
"Greece","GRMNGCCP00",2033,4.7363350694787
"Greece","GRMNGCCP00",2034,2.22344168938877
"Greece","GRMNGCCP00",2035,0
"Greece","GRMNGCCP00",2036,0
"Greece","GRMNGCCP00",2037,0
"Greece","GRMNGCCP00",2038,0
"Greece","GRMNGCCP00",2039,0
"Greece","GRMNGCCP00",2040,0
"Greece","GRMNGCCP00",2041,0
"Greece","GRMNGCCP00",2042,0
"Greece","GRMNGCCP00",2043,0
"Greece","GRMNGCCP00",2044,0
"Greece","GRMNGCCP00",2045,0
"Greece","GRMNGCCP00",2046,0
"Greece","GRMNGCCP00",2047,0
"Greece","GRMNGCCP00",2048,0
"Greece","GRMNGCCP00",2049,0
"Greece","GRMNGCCP00",2050,0
"Greece","GRMNGGCP00",2019,0
"Greece","GRMNGGCP00",2020,2.585068992
"Greece","GRMNGGCP00",2021,0
"Greece","GRMNGGCP00",2022,0
"Greece","GRMNGGCP00",2023,0
"Greece","GRMNGGCP00",2024,2.585068992
"Greece","GRMNGGCP00",2025,0
"Greece","GRMNGGCP00",2026,0
"Greece","GRMNGGCP00",2027,0
"Greece","GRMNGGCP00",2028,0
"Greece","GRMNGGCP00",2029,0
"Greece","GRMNGGCP00",2030,0
"Greece","GRMNGGCP00",2031,0
"Greece","GRMNGGCP00",2032,0
"Greece","GRMNGGCP00",2033,0
"Greece","GRMNGGCP00",2034,0
"Greece","GRMNGGCP00",2035,0
"Greece","GRMNGGCP00",2036,0
"Greece","GRMNGGCP00",2037,0
"Greece","GRMNGGCP00",2038,0
"Greece","GRMNGGCP00",2039,0
"Greece","GRMNGGCP00",2040,0
"Greece","GRMNGGCP00",2041,0
"Greece","GRMNGGCP00",2042,0
